devtodev_ID,First_SessionDuration,First_SessionPlaytime,SessionDuration_avg,SessionDuration_std,SessionDuration_growth,SessionPlaytime_avg,SessionPlaytime_std,SessionPlaytime_growth,SessionGap_Growth,SessionGap_First2Second,num_session,num_session_first_day,num_session_first_week,num_ads_to_session_duration,Game_BallToCoin_duration_avg,Game_Balloon_duration_avg,Game_Classic_duration_avg,Game_Coin_duration_avg,Game_IO_duration_avg,Game_MMeta_duration_avg,Game_Runner_duration_avg,Game_Tourn_duration_avg,Classic_winrate,goal_range_avg,goal_range_std,goal_range_growth,goal_avg,goal_std,goal_growth,ShootCount_avg,ShootCount_std,ShootCount_growth,EnemyHitCount_avg,EnemyHitCount_std,EnemyHitCount_growth,GoalAcc_avg,GoalAcc_std,GoalAcc_growth,Levels_FirstSession,Levels_Session_avg,Levels_Session_std,Levels_Session_growth,RvCount_Session_avg,RvCount,InterstitialCount_Session_avg,InterstitialCount,InterstitialCount_End_Level,InterstitialCount_Idle_User,InterstitialCount_Mid_Level,RvCount_ActivateLimitedTimeOffer,RvCount_Choose_BonusGame,RvCount_ContinueTournament,RvCount_End_Level_Winnings,RvCount_FrameShop_Skin,RvCount_GetTickets,RvCount_Gift_Accelerate,RvCount_Gift_Take,RvCount_MetaBestBall,RvCount_MetaChestDoubleOffer,RvCount_MetaDoubleOffer,RvCount_MetaSpawnBall,RvCount_MetaWheelSpin,RvCount_Mission_Refresh,RvCount_Mission_Skip,RvCount_Offline_Earning,RvCount_Shop_Money,RvCount_Shop_Skin,RvCount_Shuffle_BonusGame,RvCount_Skip_Level,RvCount_StoreTicketAndCoins,RvCount_TournamentFinalReward2X,RvCount_TreasureChestReward2X,HasPaid,TriedPaying,Cohort,IAPTotalSpent,InterstitialImpression,LevelLose,LevelStart,LevelWin,RVCompleted,TotalAdRevenue,TotalInGameTime,TotalPlaytime,UniqueDays,cluster
180936,3.816666666666667,2.316666666666667,3.1041666666666665,1.730947877769737,-0.21482309150561651,2.125,1.5323970571430698,-0.2483998575031262,,865.65615,4.0,3.0,4.0,0.5201924207050465,0.0,0.0,69.16666666666667,0.0,0.0,0.0,0.0,0.0,0.6,2.3116666666666665,0.47134231747946587,-0.01639696142853675,5.2,3.293090409394258,0.07322208556187437,28.714285714285715,23.28600642527815,0.25786200287316374,1.2857142857142858,1.3801311186847085,0.3480061545972777,0.2836790660320072,0.17246760264446706,-0.07018151084639945,3.0,1.5,1.2909944487358056,-0.2062994740159002,0.0,0.0,2.0,8.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8.0,1.0,9.0,6.0,0.0,0.7078710198402405,750.0,449.0,3.0,1
180940,3.683333333333333,1.9166666666666667,14.872222222222222,8.066576273598223,0.14803558180149867,10.481481481481481,6.099877300931532,0.16101566267625445,0.18761243695139918,28.671100000000003,9.0,4.0,8.0,0.16427383283684108,30.0,30.0,73.875,0.0,0.0,0.0,0.0,25.6,0.6153846153846154,2.272700746965453,0.4727665498132621,-0.003321678544804918,6.5,4.011347540529129,0.04365356767031847,33.27272727272727,24.819713572444424,0.10329174939144048,2.272727272727273,1.7939291563999449,0.040086891113623624,0.22498870842625998,0.078868302928799,-0.024122555207620522,3.0,6.111111111111111,2.2047927592204926,0.08706202972134314,0.0,0.0,2.3333333333333335,21.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,3.0,3.0,12.0,8.0,0.0,0.0755897983908653,1386.0,934.0,2.0,2
182106,10.683333333333334,5.616666666666666,12.666666666666668,2.804856898706638,,6.916666666666666,1.8384776310850242,,,280.86945000000003,2.0,2.0,2.0,0.3110540803884715,0.0,0.0,64.22222222222223,30.0,0.0,0.0,0.0,0.0,0.6923076923076923,1.9988095238095236,0.5441830611858776,-0.011956795111595309,6.615384615384615,3.176435673792811,0.049003485096219546,41.15384615384615,21.185081833868196,-0.0025491936731656395,5.076923076923077,6.047885835308326,-0.06292133700581704,0.18544621999328634,0.08786536187014539,0.03986927560075748,4.0,4.5,0.7071067811865476,,0.0,0.0,4.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,2
180938,9.1,6.866666666666666,3.585714285714286,3.3733411388180414,-0.026832716408826007,2.428095238095238,2.391296075095576,-0.01871802386527044,0.06120998841999703,0.0016666666666666668,35.0,12.0,32.0,0.6247581675854292,0.0,30.0,102.66666666666667,0.0,0.0,17.0,0.0,57.5,0.32432432432432434,2.0667367354867356,0.7650675582960198,-0.010911382401626035,5.222222222222222,4.168666186896928,0.011140614737591426,47.35,29.697199938891988,0.009744947651694424,4.35,2.978431236671236,-0.00362461891480792,0.1417098946278844,0.06189496985652303,-0.009201468023589565,4.0,0.6285714285714286,1.2387307138811912,-0.06705051372910831,0.02857142857142857,1.0,2.085714285714286,73.0,12.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,58.0,8.0,37.0,12.0,1.0,1.0451580286026,5671.0,2507.0,9.0,2
180945,4.916666666666667,3.0,2.666666666666667,2.5010183111270083,-0.15670666446325254,1.1476190476190475,1.1449740645384106,0.0093614857982256,2.2600481238873527,0.7223666666666666,7.0,3.0,6.0,0.9401597110866625,0.0,0.0,53.833333333333336,0.0,0.0,0.0,0.0,0.0,0.6,2.2554994388327723,0.4812506215863466,0.008376182348194927,5.777777777777778,2.5873624493766707,0.0010828436952372567,28.375,18.30641963902281,0.04540776894234333,0.75,0.7071067811865476,0.0,0.2278254562012893,0.10101210848106647,-0.025688053527956778,4.0,0.8571428571428571,1.4638501094227998,-0.27107662639252295,0.0,0.0,1.4285714285714286,10.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0,2.0,9.0,6.0,1.0,0.422186017036438,1198.0,469.0,4.0,2
180937,1.9833333333333332,0.9666666666666668,2.3041666666666667,1.1071631249211584,-0.14216316289252873,1.575,0.7419319126193203,0.0,,112.67051666666666,4.0,4.0,4.0,0.09803921568627452,0.0,29.0,68.75,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,1.975,0.6795189708507273,-0.006609749845196022,4.25,3.453776401067595,-0.06621628868424712,26.8,20.837466256721328,0.48907883693521925,2.6,2.5099800796022262,,0.23162907268170424,0.08928932385452483,-0.04364688994956223,1.0,1.0,0.816496580927726,-0.30663872564936534,0.0,0.0,0.25,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,1
182115,17.016666666666666,11.583333333333334,17.016666666666666,0.0,,11.583333333333334,0.0,,,0.0,1.0,1.0,1.0,0.7051909892262488,0.0,0.0,60.5,0.0,0.0,0.0,0.0,44.53333333333333,0.8,2.37,0.44981477669517855,0.008478620168796747,4.2,1.398411797560202,0.0,15.4,10.200217862597075,0.074276726506594,1.5,2.173067468400883,0.11896046863027832,0.33343378843378846,0.15646014079150347,-0.018943490154948228,7.0,7.0,0.0,,0.0,0.0,12.0,12.0,14.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,2
182119,0.55,0.0,0.55,0.0,,0.0,0.0,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
180942,8.05,5.516666666666667,6.768518518518519,2.820072453320182,0.02043639923124907,4.868518518518518,2.0553866296954606,0.03157767027033187,0.2670570369958589,286.08753333333334,9.0,4.0,8.0,0.181967800163033,0.0,0.0,44.5,0.0,39.0,19.0,0.0,33.4,0.6896551724137931,2.439625850340136,0.6829959451631549,0.004687774837191183,4.857142857142857,2.0496483115544972,-0.008716925296858413,23.25,12.80227121053714,0.0037651987725211278,1.3571428571428572,1.9666532149122955,0.00390986497754664,0.2528910447956792,0.12896744950743455,-0.007137082983667886,6.0,4.111111111111111,2.8037673068767868,0.03475187830914206,0.1111111111111111,1.0,0.8888888888888888,8.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,8.0,29.0,20.0,1.0,0.5397199988365173,2063.0,1452.0,3.0,2
180951,3.4166666666666665,2.083333333333333,3.7777777777777777,3.0695940134498905,-0.03173393206875641,2.805555555555556,2.092822832302679,-0.027638930989590693,-0.005754892262465172,9.052866666666667,15.0,3.0,15.0,0.7464997744397823,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.47619047619047616,2.308409090909091,0.8646280541267374,-0.0018121667860232504,4.6,3.2670604846752247,0.018666710455971902,45.266666666666666,43.8234553418057,0.1121657240343461,10.333333333333334,14.78738200854589,0.24595706348895274,0.18603378607271953,0.11256523942256941,-0.0488449593749406,3.0,1.0,1.3627702877384937,-0.0573389222737396,0.0,0.0,2.2,33.0,2.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,24.0,4.0,19.0,10.0,0.0,0.7585145831108093,2481.0,1480.0,4.0,0
